State,Gender,Handed,Height_cm,Armspan_cm,Travel_to_School,Travel_time_to_School,Score_in_memory_game,Importance_recycling_rubbish,Left_Footlength_cm,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Favorite_Music,Superpower,Preferred_Status
IN,Female,Ambidextrous,172,180,Car,7,48,701,26,95,103,Ring finger,April,Fall,No,No,Water,Languages,6,9,3,Text messaging,50,60,6,1,10,20,12,0,3,6,15,2,0,4,A lot,Pop,Fly,Happy
IN,Female,Right-Handed,162,148,Car,8,50,500,20,90,70,Index finger,January,Fall,No,No,Water,English,8,8,5,Cell phone,50,51,10,5,10,5,7,0,15,10,10,2,26,3,Some,Pop,Freeze time,Happy
IN,Female,Right-Handed,161,147,Car,15,1,1000,18,60,70,Ring finger,August,Spring,Yes,No,Water,Art,7,10,5,Text messaging,200,300,20,3,12,2,0,0,10,24,24,9,9,9,Some,Pop,Telepathy,Rich
IN,Male,Right-Handed,182,190,Car,10,43,300,20,50,60,Ring finger,September,Spring,Yes,No,Soft drink (caffeinated),Science,7,10,3,Text messaging,100,200,50,5,0,5,10,20,10,10,5,5,0,1,Very little,Rap/Hip hop,Fly,Rich
IN,Female,Right-Handed,157.8,157.8,Car,10,55,700,28.5,50.8,2.3,Ring finger,July,Fall,No,No,Water,Other,7,8,5,Text messaging,200,550,12,1,1,10,10,0,5,110,5,1,16,3,Very little,Country,Telepathy,Happy
IN,Male,Right-Handed,190,193,Car,15,47,800,27,82.55,76.2,Index finger,August,Summer,No,No,Water,Mathematics and statistics,7,9,6,In person,20,50,5,0.5,2,5,3,0,5,2,0.5,0,20,2,A lot,Rap/Hip hop,Invisibility,Rich
IN,Female,Right-Handed,165,169,Bus,5,39,700,25,80,70,Index finger,February,Summer,No,No,Water,Mathematics and statistics,5,9,5,Text messaging,100,100,25,6,2,1,18,1,30,20,10,20,15,20,Very little,Country,Telepathy,Rich
WA,Male,Right-Handed,175,172,Car,3,49,385,24,70,75,Ring finger,April,Winter,No,No,Water,English,8,10,2,Internet chat or instant messaging,12,14,12,0.2,7,8,15,5,3,1,3,8,10,2,Some,Rap/Hip hop,Fly,Happy
IN,Male,Right-Handed,183,176,Car,10,38,200,28,94,85,Index finger,March,Spring,Yes,No,Water,Physical education,7,8,3,Text messaging,300,300,3,0,0,2,1,6,1,1,0,2,0,0,None,Techno/Electronic,Fly,Rich
IN,Male,Right-Handed,172.7,177.8,Bus,10,53,800,25.4,174,189,Ring finger,February,Summer,No,No,Soft drink (caffeinated),Computers and technology,7,9,4,"Myspace, Facebook, other social networking sites, or blog",2,2,30,0.1,6,4,10,20,3,0.2,40,1,3,0.5,Some,Rap/Hip hop,Freeze time,Rich
WA,Male,Ambidextrous,192,190,Walk,15,42,50,24,11,8,Index finger,September,Summer,No,No,Water,Physical education,9,3,3,"Myspace, Facebook, other social networking sites, or blog",100,100,3,1,2,6,3,2,84,60,84,40,20,8,Very little,Rap/Hip hop,Super strength,Happy
IN,Male,Left-Handed,184,178,Car,10,34,700,25,70,8,Ring finger,January,Fall,Yes,No,Juice,History,8,8,7,In person,5,5,1,1,1,15,7,7,3,1,3,1,20,10,Some,Country,Fly,Happy
IN,Male,Right-Handed,180,187,Car,10,44,0,27,40,44,Ring finger,May,Fall,Yes,No,Milk,History,7,10,6,In person,90,90,10,0.1,1,2,12,8,5,4,6,8,18,0.5,Some,Rock and roll,Telepathy,Healthy
IN,Female,Right-Handed,182,181,Car,5,45,400,24,80,80,Same length,March,Fall,No,No,Water,History,7,8,5,Text messaging,40,20,10,4,5,10,1,0,4,2,2,0,15,2,A lot,Country,Telepathy,Happy
IN,Female,Left-Handed,176,170,Car,15,43,100,25,80,90,Ring finger,January,Summer,No,No,Soft drink (caffeinated),English,7,5,4,Text messaging,50,60,10,0,12,10,6,0,2,2,5,10,15,30,A lot,Pop,Telepathy,Happy
IN,Female,Right-Handed,164,164,Car,7,26,700,25,75,70,Index finger,August,Summer,Yes,Yes,Water,Art,6,8,3,Text messaging,30,70,7,0,14,3,2,0,14,9,2,2,20,1,A lot,Other,Fly,Happy
IN,Male,Left-Handed,173,171,Car,10,30,1000,24,200,190,Ring finger,March,Fall,No,No,Water,Other,6,10,2,In person,5,10,20,0,2,2,0,2,5,2,20,2,18,0,Some,Other,Fly,Happy
IN,Female,Right-Handed,167,155,Car,15,29,600,22,70,70,Same length,January,Winter,Yes,No,Water,History,8,8,3,Cell phone,50,75,2,1,2,6,1,0,4,1,20,1,20,3,A lot,Pop,Telepathy,Healthy
IN,Female,Right-Handed,160,157.5,Car,10,56,750,20.32,101.6,101.6,Same length,December,Winter,No,No,Soft drink (caffeinated),Art,7,9,6,In person,10,20,5,0,15,10,0,0,7,7,15,20,30,10,A lot,Pop,Freeze time,Rich
IN,Male,Right-Handed,180.3,185,Car,5,49,0,27,59,58,Index finger,March,Spring,No,No,Tea,Computers and technology,5,5,4,Text messaging,20,5,0,0,0,0,0,30,0,10,10,0,0,0,Some,Other,Freeze time,Happy
IN,Male,Left-Handed,185.4,145,Car,8,42,600,28.6,97,80,Index finger,August,Winter,Yes,No,Water,History,6,9,4,Text messaging,100,150,49,2,5,20,30,10,10,10,2,2,0,2,Some,Country,Invisibility,Happy
IN,Female,Right-Handed,151,153.5,Car,4,47,1000,20,80,80,Same length,November,Fall,No,No,Water,English,7.5,10,5,Text messaging,20,12,1,1,10,2,9,2,3,4,15,12,2,2,A lot,Other,Freeze time,Happy
IN,Female,Right-Handed,166,166,Car,15,34,519,23,80,75,Index finger,June,Summer,Yes,No,Milk,English,8,11,4,In person,3,5,3,0,9,11,3,6,0,0,3,0,0,7,A lot,Classical,Invisibility,Happy
IN,Male,Right-Handed,183,184,Car,4,36,556,24,5,5.5,Ring finger,May,Fall,Yes,No,Water,Mathematics and statistics,8,8,5,In person,130,130,2,1,5,5,5,0,0,5,1,2,30,2,Some,Pop,Telepathy,Happy
IN,Female,Right-Handed,150,150,Car,12,40,400,21,75,80,Ring finger,March,Summer,No,No,Soft drink (caffeinated),Science,7,6,3,Text messaging,300,300,10,1,1,3,10,0,15,15,2,9,6,2,Very little,Rap/Hip hop,Invisibility,Rich
IN,Female,Right-Handed,163,160,Car,30,64,700,70,76,80,Ring finger,May,Fall,No,Yes,Milk,History,7,10,3,"Myspace, Facebook, other social networking sites, or blog",300,305,10,2,3,5,6,3,9,7,4,1,20,5,Some,Punk rock,Telepathy,Happy
